"HostName","PathType","PathValue"
"DESKTOP-NAB","PATH","C:\WINDOWS\system32"
"DESKTOP-NAB","PATH","C:\WINDOWS"
"DESKTOP-NAB","PATH","C:\WINDOWS\System32\Wbem"
"DESKTOP-NAB","PATH","C:\WINDOWS\System32\WindowsPowerShell\v1.0\"
"DESKTOP-NAB","PATH","C:\WINDOWS\System32\OpenSSH\"
"DESKTOP-NAB","PATH","C:\Program Files\NVIDIA Corporation\NVIDIA App\NvDLISR"
"DESKTOP-NAB","PATH","C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common"
"DESKTOP-NAB","PATH","C:\Program Files\PuTTY\"
"DESKTOP-NAB","PATH","C:\Program Files\Git\cmd"
"DESKTOP-NAB","PATH","C:\Program Files\Amazon\AWSCLIV2\"
"DESKTOP-NAB","PATH","C:\Program Files\Amazon\AWSSAMCLI\bin\"
"DESKTOP-NAB","PATH","C:\Users\noah\AppData\Local\Programs\Python\Launcher\"
"DESKTOP-NAB","PATH","C:\Users\noah\AppData\Local\Microsoft\WindowsApps"
"DESKTOP-NAB","PATH","C:\Users\noah\AppData\Local\Programs\Microsoft VS Code\bin"
"DESKTOP-NAB","PATH","c:\Users\noah\AppData\Roaming\Code\User\globalStorage\github.copilot-chat\debugCommand"
"DESKTOP-NAB","USERPROFILE","C:\Users\noah"
"DESKTOP-NAB","PROGRAMFILES","C:\Program Files"
"DESKTOP-NAB","PROGRAMFILES(X86)","C:\Program Files (x86)"
"DESKTOP-NAB","WINDIR","C:\WINDOWS"
"DESKTOP-NAB","TEMP","C:\Users\noah\AppData\Local\Temp"
"DESKTOP-NAB","TMP","C:\Users\noah\AppData\Local\Temp"
