"HostName","LocalAddress","LocalPort","RemoteAddress","RemotePort","State","ProcessId","ProcessName"
"DESKTOP-NAB","::","49679","::","0","Listen","708","services"
"DESKTOP-NAB","::1","49669","::","0","Listen","4860","jhi_service"
"DESKTOP-NAB","::","49668","::","0","Listen","3580","spoolsv"
"DESKTOP-NAB","::","49667","::","0","Listen","2316","svchost"
"DESKTOP-NAB","::","49666","::","0","Listen","1752","svchost"
"DESKTOP-NAB","::","49665","::","0","Listen","952","wininit"
"DESKTOP-NAB","::","49664","::","0","Listen","1032","lsass"
"DESKTOP-NAB","::1","42050","::","0","Listen","25540","OneDrive.Sync.Service"
"DESKTOP-NAB","::","7680","::","0","Listen","3024","svchost"
"DESKTOP-NAB","::","445","::","0","Listen","4","System"
"DESKTOP-NAB","::","135","::","0","Listen","1284","svchost"
"DESKTOP-NAB","0.0.0.0","65280","0.0.0.0","0","Bound","25212","svchost"
"DESKTOP-NAB","0.0.0.0","65259","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","64952","0.0.0.0","0","Bound","22696","nvcontainer"
"DESKTOP-NAB","0.0.0.0","64856","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","64705","0.0.0.0","0","Bound","25168","explorer"
"DESKTOP-NAB","0.0.0.0","64332","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","63904","0.0.0.0","0","Bound","2184","svchost"
"DESKTOP-NAB","0.0.0.0","63316","0.0.0.0","0","Bound","19788","OneDrive"
"DESKTOP-NAB","0.0.0.0","63104","0.0.0.0","0","Bound","17376","SystemSettings"
"DESKTOP-NAB","0.0.0.0","63103","0.0.0.0","0","Bound","17376","SystemSettings"
"DESKTOP-NAB","0.0.0.0","62971","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","62759","0.0.0.0","0","Bound","15248","EpicGamesLauncher"
"DESKTOP-NAB","0.0.0.0","62192","0.0.0.0","0","Bound","15248","EpicGamesLauncher"
"DESKTOP-NAB","0.0.0.0","62167","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","60219","0.0.0.0","0","Bound","8752","NinjaRMMAgent"
"DESKTOP-NAB","0.0.0.0","60191","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","59655","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","59486","0.0.0.0","0","Bound","10360","Code"
"DESKTOP-NAB","0.0.0.0","56868","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","56796","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","56718","0.0.0.0","0","Bound","8752","NinjaRMMAgent"
"DESKTOP-NAB","0.0.0.0","56712","0.0.0.0","0","Bound","8752","NinjaRMMAgent"
"DESKTOP-NAB","0.0.0.0","56711","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","56557","0.0.0.0","0","Bound","13152","lghub_agent"
"DESKTOP-NAB","0.0.0.0","56555","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56552","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56549","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56547","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56546","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56543","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56541","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56533","0.0.0.0","0","Bound","16600","HuntressAgent"
"DESKTOP-NAB","0.0.0.0","56530","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56525","0.0.0.0","0","Bound","10360","Code"
"DESKTOP-NAB","0.0.0.0","56520","0.0.0.0","0","Bound","21940","WmiPrvSE"
"DESKTOP-NAB","0.0.0.0","56510","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","56276","0.0.0.0","0","Bound","21636","OneDrive"
"DESKTOP-NAB","0.0.0.0","56105","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","54783","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","53668","0.0.0.0","0","Bound","24508","msedgewebview2"
"DESKTOP-NAB","0.0.0.0","53654","0.0.0.0","0","Bound","24508","msedgewebview2"
"DESKTOP-NAB","0.0.0.0","53328","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","51690","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","51234","0.0.0.0","0","Bound","10360","Code"
"DESKTOP-NAB","0.0.0.0","50609","0.0.0.0","0","Bound","10360","Code"
"DESKTOP-NAB","0.0.0.0","50597","0.0.0.0","0","Bound","10360","Code"
"DESKTOP-NAB","0.0.0.0","50570","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","50452","0.0.0.0","0","Bound","15248","EpicGamesLauncher"
"DESKTOP-NAB","0.0.0.0","50126","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","0.0.0.0","50089","0.0.0.0","0","Bound","4128","chrome"
"DESKTOP-NAB","192.168.1.23","65335","72.153.5.63","443","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","65280","20.190.135.19","443","Established","25212","svchost"
"DESKTOP-NAB","192.168.1.23","65259","18.160.249.65","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","64952","23.64.112.78","443","CloseWait","22696","nvcontainer"
"DESKTOP-NAB","192.168.1.23","64856","3.167.132.177","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","64705","52.96.79.130","443","Established","25168","explorer"
"DESKTOP-NAB","192.168.1.23","64674","54.211.226.241","443","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","64541","104.26.9.62","443","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","64332","162.219.225.118","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","63904","20.59.87.225","443","Established","2184","svchost"
"DESKTOP-NAB","192.168.1.23","63625","3.170.103.17","443","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","63316","20.59.87.227","443","Established","19788","OneDrive"
"DESKTOP-NAB","192.168.1.23","62971","3.167.132.107","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","62759","13.223.220.170","443","Established","15248","EpicGamesLauncher"
"DESKTOP-NAB","192.168.1.23","62197","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62196","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62195","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62192","34.228.28.120","443","CloseWait","15248","EpicGamesLauncher"
"DESKTOP-NAB","192.168.1.23","62191","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62190","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62181","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62180","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62178","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62170","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","62167","23.66.127.37","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","60219","54.203.213.210","443","Established","8752","NinjaRMMAgent"
"DESKTOP-NAB","192.168.1.23","60191","18.160.249.92","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","59655","172.66.154.65","443","Established","4128","chrome"
"DESKTOP-NAB","127.0.0.1","59625","0.0.0.0","0","Listen","11188","Code"
"DESKTOP-NAB","192.168.1.23","57131","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57130","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57126","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57125","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57124","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57117","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57116","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57114","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57112","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57111","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57110","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57109","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57107","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57106","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57102","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57101","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57098","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57097","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57096","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57095","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57092","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","57091","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56868","157.90.91.72","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","56796","146.75.81.140","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","56718","44.237.36.234","443","Established","8752","NinjaRMMAgent"
"DESKTOP-NAB","192.168.1.23","56712","54.203.213.210","443","CloseWait","8752","NinjaRMMAgent"
"DESKTOP-NAB","192.168.1.23","56711","34.107.204.85","443","Established","4128","chrome"
"DESKTOP-NAB","127.0.0.1","56557","127.0.0.1","28194","SynSent","13152","lghub_agent"
"DESKTOP-NAB","192.168.1.23","56555","172.64.149.23","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56554","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56553","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56552","172.64.149.23","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56551","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56550","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56549","23.60.131.209","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56547","23.60.131.209","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56546","104.18.21.226","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56545","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56544","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56543","23.60.131.209","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56541","23.60.131.209","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56539","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56538","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56536","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56535","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56533","34.199.104.120","443","Established","16600","HuntressAgent"
"DESKTOP-NAB","192.168.1.23","56532","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56531","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56530","23.60.131.209","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56529","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56528","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56525","140.82.112.5","443","Established","10360","Code"
"DESKTOP-NAB","192.168.1.23","56524","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56523","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56522","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56520","204.79.197.203","80","Established","21940","WmiPrvSE"
"DESKTOP-NAB","192.168.1.23","56519","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56518","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","56510","24.144.124.112","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","56276","20.59.87.227","443","Established","21636","OneDrive"
"DESKTOP-NAB","192.168.1.23","56105","34.107.204.85","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","54783","18.204.254.39","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","53328","146.75.81.140","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","51690","34.36.213.229","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","51234","20.42.73.26","443","Established","10360","Code"
"DESKTOP-NAB","192.168.1.23","50661","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50660","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50657","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50656","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","127.0.0.1","50647","127.0.0.1","24799","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50646","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50644","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50643","103.247.37.37","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50642","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50641","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50638","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50637","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50636","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50630","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50629","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50609","140.82.114.22","443","Established","10360","Code"
"DESKTOP-NAB","192.168.1.23","50597","40.71.11.167","443","Established","10360","Code"
"DESKTOP-NAB","192.168.1.23","50576","104.208.16.91","443","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50570","23.66.127.32","443","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","50464","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50463","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50458","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50457","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50452","44.217.174.45","443","CloseWait","15248","EpicGamesLauncher"
"DESKTOP-NAB","192.168.1.23","50451","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50450","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50449","103.247.36.36","53","TimeWait","0","Idle"
"DESKTOP-NAB","192.168.1.23","50126","64.233.181.188","5228","Established","4128","chrome"
"DESKTOP-NAB","192.168.1.23","50089","172.64.148.235","443","Established","4128","chrome"
"DESKTOP-NAB","0.0.0.0","49679","0.0.0.0","0","Listen","708","services"
"DESKTOP-NAB","0.0.0.0","49668","0.0.0.0","0","Listen","3580","spoolsv"
"DESKTOP-NAB","0.0.0.0","49667","0.0.0.0","0","Listen","2316","svchost"
"DESKTOP-NAB","0.0.0.0","49666","0.0.0.0","0","Listen","1752","svchost"
"DESKTOP-NAB","0.0.0.0","49665","0.0.0.0","0","Listen","952","wininit"
"DESKTOP-NAB","0.0.0.0","49664","0.0.0.0","0","Listen","1032","lsass"
"DESKTOP-NAB","127.0.0.1","45654","0.0.0.0","0","Listen","13152","lghub_agent"
"DESKTOP-NAB","127.0.0.1","24799","0.0.0.0","0","Listen","4300","HuntressUpdater"
"DESKTOP-NAB","127.0.0.1","9180","0.0.0.0","0","Listen","18920","lghub_updater"
"DESKTOP-NAB","127.0.0.1","9010","0.0.0.0","0","Listen","13152","lghub_agent"
"DESKTOP-NAB","0.0.0.0","5040","0.0.0.0","0","Listen","8360","svchost"
"DESKTOP-NAB","192.168.1.23","139","0.0.0.0","0","Listen","4","System"
"DESKTOP-NAB","0.0.0.0","135","0.0.0.0","0","Listen","1284","svchost"
"DESKTOP-NAB","127.0.0.2","53","0.0.0.0","0","Listen","3728","DNS Agent"
