"HostName","SoftwareName","Version","Vendor","InstallDate"
"DESKTOP-NAB","SharePoint Online Management Shell","16.0.26121.12000","Microsoft Corporation","20250625"
"DESKTOP-NAB","Python Launcher","3.13.5150.0","Python Software Foundation","20250707"
"DESKTOP-NAB","Microsoft Teams Meeting Add-in for Microsoft Office","1.25.18302","Microsoft","20250723"
"DESKTOP-NAB","Office 16 Click-to-Run Extensibility Component","16.0.18526.20438","Microsoft Corporation","20250708"
"DESKTOP-NAB","Office 16 Click-to-Run Licensing Component","16.0.18526.20546","Microsoft Corporation","20250909"
"DESKTOP-NAB","Microsoft Visual C++ 2022 X64 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250729"
"DESKTOP-NAB","Epic Games Launcher Prerequisites (x64)","1.0.0.0","Epic Games, Inc.","20250912"
"DESKTOP-NAB","Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20250910"
"DESKTOP-NAB","Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20250910"
"DESKTOP-NAB","Futuremark SystemInfo","5.88.1377.0","Futuremark","20250910"
"DESKTOP-NAB","Epic Online Services","3.0.4","Epic Games, Inc.","20250912"
"DESKTOP-NAB","Microsoft Visual C++ 2022 X86 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250729"
"DESKTOP-NAB","Microsoft Visual C++ 2022 X86 Minimum Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250729"
"DESKTOP-NAB","Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20250910"
"DESKTOP-NAB","AWS SAM Command Line Interface","1.143.0","AWS Serverless Applications","20250903"
"DESKTOP-NAB","Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.21005","12.0.21005","Microsoft Corporation","20250910"
"DESKTOP-NAB","Epic Games Launcher","1.3.151.0","Epic Games, Inc.","20250912"
"DESKTOP-NAB","Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20250910"
"DESKTOP-NAB","Google Chrome","140.0.7339.128","Google LLC","20250910"
"DESKTOP-NAB","NinjaRMMAgent","8.0.3581","NinjaRMM LLC","20250622"
"DESKTOP-NAB","OpenVPN 2.7_alpha2-I001 amd64","2.7.001","OpenVPN, Inc.","20250620"
"DESKTOP-NAB",,,,
"DESKTOP-NAB","DNS Agent","2.2.1.0","DNS","20250909"
"DESKTOP-NAB","Microsoft Visual C++ 2022 X64 Additional Runtime - 14.44.35211","14.44.35211","Microsoft Corporation","20250729"
"DESKTOP-NAB","TOSHIBA Universal PS3 driver","7.222.5412.231","Toshiba Tec Corporation","20250715"
"DESKTOP-NAB","Huntress Rio","0.7.25","Huntress Labs, Inc.","20250819"
"DESKTOP-NAB","AWS Command Line Interface v2","2.28.22.0","Amazon Web Services","20250903"
"DESKTOP-NAB","Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20250910"
"DESKTOP-NAB","Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20250910"
"DESKTOP-NAB","Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.61030","11.0.61030","Microsoft Corporation","20250910"
"DESKTOP-NAB","PuTTY release 0.83 (64-bit)","0.83.0.0","Simon Tatham","20250620"
"DESKTOP-NAB","Inkscape","1.4.2","Inkscape","20250620"
